text,label,group
Exclusive reward — confirm your identity now; or your account will be suspended.,spam,spam_group_11
Limited time offer: call the number to claim before access is blocked.,spam,spam_group_12
Limited time offer! Please call the number to claim before access is blocked.,spam,spam_group_12
Limited time offer — call the number to claim; before access is blocked.,spam,spam_group_12
Special promotion: transfer the fee to release the reward to unlock the bonus.,spam,spam_group_13
Special promotion! Please transfer the fee to release the reward to unlock the bonus.,spam,spam_group_13
Special promotion — transfer the fee to release the reward; to unlock the bonus.,spam,spam_group_13
Claim notice: open the secure portal now to collect the voucher.,spam,spam_group_14
Claim notice! Please open the secure portal now to collect the voucher.,spam,spam_group_14
Claim notice — open the secure portal now; to collect the voucher.,spam,spam_group_14
Prize notification: pay the small processing fee to complete the security check.,spam,spam_group_15
Prize notification! Please pay the small processing fee to complete the security check.,spam,spam_group_15
Prize notification — pay the small processing fee; to complete the security check.,spam,spam_group_15
Your payment failed: sign in through the attached link before the deadline.,spam,spam_group_16
Your payment failed! Please sign in through the attached link before the deadline.,spam,spam_group_16
Your payment failed — sign in through the attached link; before the deadline.,spam,spam_group_16
Your account is suspended: enter your OTP to continue to receive your cash prize.,spam,spam_group_17
Your account is suspended! Please enter your OTP to continue to receive your cash prize.,spam,spam_group_17
Your account is suspended — enter your OTP to continue; to receive your cash prize.,spam,spam_group_17
Your card requires verification: confirm your payment information and confirm your credentials.,spam,spam_group_18
Your card requires verification! Please confirm your payment information and confirm your credentials.,spam,spam_group_18
Your card requires verification — confirm your payment information; and confirm your credentials.,spam,spam_group_18
Your bank security check is pending: verify your account immediately to avoid a service interruption.,spam,spam_group_19
Your bank security check is pending! Please verify your account immediately to avoid a service interruption.,spam,spam_group_19
Your bank security check is pending — verify your account immediately; to avoid a service interruption.,spam,spam_group_19
Your delivery is on hold: send the verification code to release the funds.,spam,spam_group_20
Your delivery is on hold! Please send the verification code to release the funds.,spam,spam_group_20
Your delivery is on hold — send the verification code; to release the funds.,spam,spam_group_20
Loan approved: complete verification before midnight before the offer expires.,spam,spam_group_21
Loan approved! Please complete verification before midnight before the offer expires.,spam,spam_group_21
Loan approved — complete verification before midnight; before the offer expires.,spam,spam_group_21
Investment opportunity: click the link to continue to receive the reward.,spam,spam_group_22
Investment opportunity! Please click the link to continue to receive the reward.,spam,spam_group_22
Investment opportunity — click the link to continue; to receive the reward.,spam,spam_group_22
Cash reward available: claim your prize today or your account will be suspended.,spam,spam_group_23
Cash reward available! Please claim your prize today or your account will be suspended.,spam,spam_group_23
Cash reward available — claim your prize today; or your account will be suspended.,spam,spam_group_23
Free voucher available: share the one-time password before access is blocked.,spam,spam_group_24
Free voucher available! Please share the one-time password before access is blocked.,spam,spam_group_24
Free voucher available — share the one-time password; before access is blocked.,spam,spam_group_24
Bonus waiting for you: update your card details to unlock the bonus.,spam,spam_group_25
Bonus waiting for you! Please update your card details to unlock the bonus.,spam,spam_group_25
Bonus waiting for you — update your card details; to unlock the bonus.,spam,spam_group_25
Lottery result available: provide your banking details to collect the voucher.,spam,spam_group_26
Lottery result available! Please provide your banking details to collect the voucher.,spam,spam_group_26
Lottery result available — provide your banking details; to collect the voucher.,spam,spam_group_26
URGENT: respond immediately to avoid suspension to complete the security check.,spam,spam_group_27
URGENT! Please respond immediately to avoid suspension to complete the security check.,spam,spam_group_27
URGENT — respond immediately to avoid suspension; to complete the security check.,spam,spam_group_27
FINAL NOTICE: reset your password immediately before the deadline.,spam,spam_group_28
FINAL NOTICE! Please reset your password immediately before the deadline.,spam,spam_group_28
FINAL NOTICE — reset your password immediately; before the deadline.,spam,spam_group_28
SECURITY ALERT: unlock your account using this link to receive your cash prize.,spam,spam_group_29
SECURITY ALERT! Please unlock your account using this link to receive your cash prize.,spam,spam_group_29
SECURITY ALERT — unlock your account using this link; to receive your cash prize.,spam,spam_group_29
IMPORTANT NOTICE: confirm your identity now and confirm your credentials.,spam,spam_group_30
IMPORTANT NOTICE! Please confirm your identity now and confirm your credentials.,spam,spam_group_30
IMPORTANT NOTICE — confirm your identity now; and confirm your credentials.,spam,spam_group_30
ACTION REQUIRED: call the number to claim to avoid a service interruption.,spam,spam_group_31
ACTION REQUIRED! Please call the number to claim to avoid a service interruption.,spam,spam_group_31
ACTION REQUIRED — call the number to claim; to avoid a service interruption.,spam,spam_group_31
IMMEDIATE ACTION REQUIRED: transfer the fee to release the reward to release the funds.,spam,spam_group_32
IMMEDIATE ACTION REQUIRED! Please transfer the fee to release the reward to release the funds.,spam,spam_group_32
IMMEDIATE ACTION REQUIRED — transfer the fee to release the reward; to release the funds.,spam,spam_group_32
LAST WARNING: open the secure portal now before the offer expires.,spam,spam_group_33
LAST WARNING! Please open the secure portal now before the offer expires.,spam,spam_group_33
LAST WARNING — open the secure portal now; before the offer expires.,spam,spam_group_33
ACCOUNT ALERT: pay the small processing fee to receive the reward.,spam,spam_group_34
ACCOUNT ALERT! Please pay the small processing fee to receive the reward.,spam,spam_group_34
ACCOUNT ALERT — pay the small processing fee; to receive the reward.,spam,spam_group_34
Congratulations: sign in through the attached link or your account will be suspended.,spam,spam_group_35
Congratulations! Please sign in through the attached link or your account will be suspended.,spam,spam_group_35
Congratulations — sign in through the attached link; or your account will be suspended.,spam,spam_group_35
You have won: enter your OTP to continue before access is blocked.,spam,spam_group_36
You have won! Please enter your OTP to continue before access is blocked.,spam,spam_group_36
You have won — enter your OTP to continue; before access is blocked.,spam,spam_group_36
Winner selected: confirm your payment information to unlock the bonus.,spam,spam_group_37
Winner selected! Please confirm your payment information to unlock the bonus.,spam,spam_group_37
Winner selected — confirm your payment information; to unlock the bonus.,spam,spam_group_37
Exclusive reward: verify your account immediately to collect the voucher.,spam,spam_group_38
Exclusive reward! Please verify your account immediately to collect the voucher.,spam,spam_group_38
Exclusive reward — verify your account immediately; to collect the voucher.,spam,spam_group_38
Limited time offer: send the verification code to complete the security check.,spam,spam_group_39
Limited time offer! Please send the verification code to complete the security check.,spam,spam_group_39
Limited time offer — send the verification code; to complete the security check.,spam,spam_group_39
Special promotion: complete verification before midnight before the deadline.,spam,spam_group_40
Special promotion! Please complete verification before midnight before the deadline.,spam,spam_group_40
Special promotion — complete verification before midnight; before the deadline.,spam,spam_group_40
Claim notice: click the link to continue to receive your cash prize.,spam,spam_group_41
Claim notice! Please click the link to continue to receive your cash prize.,spam,spam_group_41
Claim notice — click the link to continue; to receive your cash prize.,spam,spam_group_41
Prize notification: claim your prize today and confirm your credentials.,spam,spam_group_42
Prize notification! Please claim your prize today and confirm your credentials.,spam,spam_group_42
Prize notification — claim your prize today; and confirm your credentials.,spam,spam_group_42
Your payment failed: share the one-time password to avoid a service interruption.,spam,spam_group_43
Your payment failed! Please share the one-time password to avoid a service interruption.,spam,spam_group_43
Your payment failed — share the one-time password; to avoid a service interruption.,spam,spam_group_43
Your account is suspended: update your card details to release the funds.,spam,spam_group_44
Your account is suspended! Please update your card details to release the funds.,spam,spam_group_44
Your account is suspended — update your card details; to release the funds.,spam,spam_group_44
Your card requires verification: provide your banking details before the offer expires.,spam,spam_group_45
Your card requires verification! Please provide your banking details before the offer expires.,spam,spam_group_45
Your card requires verification — provide your banking details; before the offer expires.,spam,spam_group_45
Your bank security check is pending: respond immediately to avoid suspension to receive the reward.,spam,spam_group_46
Your bank security check is pending! Please respond immediately to avoid suspension to receive the reward.,spam,spam_group_46
Your bank security check is pending — respond immediately to avoid suspension; to receive the reward.,spam,spam_group_46
Your delivery is on hold: reset your password immediately or your account will be suspended.,spam,spam_group_47
Your delivery is on hold! Please reset your password immediately or your account will be suspended.,spam,spam_group_47
Your delivery is on hold — reset your password immediately; or your account will be suspended.,spam,spam_group_47
Loan approved: unlock your account using this link before access is blocked.,spam,spam_group_48
Loan approved! Please unlock your account using this link before access is blocked.,spam,spam_group_48
Loan approved — unlock your account using this link; before access is blocked.,spam,spam_group_48
Investment opportunity: confirm your identity now to unlock the bonus.,spam,spam_group_49
Investment opportunity! Please confirm your identity now to unlock the bonus.,spam,spam_group_49
Investment opportunity — confirm your identity now; to unlock the bonus.,spam,spam_group_49
Cash reward available: call the number to claim to collect the voucher.,spam,spam_group_50
Cash reward available! Please call the number to claim to collect the voucher.,spam,spam_group_50
Cash reward available — call the number to claim; to collect the voucher.,spam,spam_group_50
Free voucher available: transfer the fee to release the reward to complete the security check.,spam,spam_group_51
Free voucher available! Please transfer the fee to release the reward to complete the security check.,spam,spam_group_51
Free voucher available — transfer the fee to release the reward; to complete the security check.,spam,spam_group_51
Bonus waiting for you: open the secure portal now before the deadline.,spam,spam_group_52
Bonus waiting for you! Please open the secure portal now before the deadline.,spam,spam_group_52
Bonus waiting for you — open the secure portal now; before the deadline.,spam,spam_group_52
Lottery result available: pay the small processing fee to receive your cash prize.,spam,spam_group_53
Lottery result available! Please pay the small processing fee to receive your cash prize.,spam,spam_group_53
Lottery result available — pay the small processing fee; to receive your cash prize.,spam,spam_group_53
URGENT: sign in through the attached link and confirm your credentials.,spam,spam_group_54
URGENT! Please sign in through the attached link and confirm your credentials.,spam,spam_group_54
URGENT — sign in through the attached link; and confirm your credentials.,spam,spam_group_54
FINAL NOTICE: enter your OTP to continue to avoid a service interruption.,spam,spam_group_55
FINAL NOTICE! Please enter your OTP to continue to avoid a service interruption.,spam,spam_group_55
FINAL NOTICE — enter your OTP to continue; to avoid a service interruption.,spam,spam_group_55
SECURITY ALERT: confirm your payment information to release the funds.,spam,spam_group_56
SECURITY ALERT! Please confirm your payment information to release the funds.,spam,spam_group_56
SECURITY ALERT — confirm your payment information; to release the funds.,spam,spam_group_56
IMPORTANT NOTICE: verify your account immediately before the offer expires.,spam,spam_group_57
IMPORTANT NOTICE! Please verify your account immediately before the offer expires.,spam,spam_group_57
IMPORTANT NOTICE — verify your account immediately; before the offer expires.,spam,spam_group_57
ACTION REQUIRED: send the verification code to receive the reward.,spam,spam_group_58
ACTION REQUIRED! Please send the verification code to receive the reward.,spam,spam_group_58
ACTION REQUIRED — send the verification code; to receive the reward.,spam,spam_group_58
IMMEDIATE ACTION REQUIRED: complete verification before midnight or your account will be suspended.,spam,spam_group_59
IMMEDIATE ACTION REQUIRED! Please complete verification before midnight or your account will be suspended.,spam,spam_group_59
IMMEDIATE ACTION REQUIRED — complete verification before midnight; or your account will be suspended.,spam,spam_group_59
LAST WARNING: click the link to continue before access is blocked.,spam,spam_group_60
LAST WARNING! Please click the link to continue before access is blocked.,spam,spam_group_60
LAST WARNING — click the link to continue; before access is blocked.,spam,spam_group_60
ACCOUNT ALERT: claim your prize today to unlock the bonus.,spam,spam_group_61
ACCOUNT ALERT! Please claim your prize today to unlock the bonus.,spam,spam_group_61
ACCOUNT ALERT — claim your prize today; to unlock the bonus.,spam,spam_group_61
Congratulations: share the one-time password to collect the voucher.,spam,spam_group_62
Congratulations! Please share the one-time password to collect the voucher.,spam,spam_group_62
Congratulations — share the one-time password; to collect the voucher.,spam,spam_group_62
You have won: update your card details to complete the security check.,spam,spam_group_63
You have won! Please update your card details to complete the security check.,spam,spam_group_63
You have won — update your card details; to complete the security check.,spam,spam_group_63
Winner selected: provide your banking details before the deadline.,spam,spam_group_64
Winner selected! Please provide your banking details before the deadline.,spam,spam_group_64
Winner selected — provide your banking details; before the deadline.,spam,spam_group_64
Exclusive reward: respond immediately to avoid suspension to receive your cash prize.,spam,spam_group_65
Exclusive reward! Please respond immediately to avoid suspension to receive your cash prize.,spam,spam_group_65
Exclusive reward — respond immediately to avoid suspension; to receive your cash prize.,spam,spam_group_65
Limited time offer: reset your password immediately and confirm your credentials.,spam,spam_group_66
Limited time offer! Please reset your password immediately and confirm your credentials.,spam,spam_group_66
Limited time offer — reset your password immediately; and confirm your credentials.,spam,spam_group_66
Special promotion: unlock your account using this link to avoid a service interruption.,spam,spam_group_67
Special promotion! Please unlock your account using this link to avoid a service interruption.,spam,spam_group_67
Special promotion — unlock your account using this link; to avoid a service interruption.,spam,spam_group_67
Claim notice: confirm your identity now to release the funds.,spam,spam_group_68
Claim notice! Please confirm your identity now to release the funds.,spam,spam_group_68
Claim notice — confirm your identity now; to release the funds.,spam,spam_group_68
Prize notification: call the number to claim before the offer expires.,spam,spam_group_69
Prize notification! Please call the number to claim before the offer expires.,spam,spam_group_69
Prize notification — call the number to claim; before the offer expires.,spam,spam_group_69
Your payment failed: transfer the fee to release the reward to receive the reward.,spam,spam_group_70
Your payment failed! Please transfer the fee to release the reward to receive the reward.,spam,spam_group_70
Your payment failed — transfer the fee to release the reward; to receive the reward.,spam,spam_group_70
Your account is suspended: open the secure portal now or your account will be suspended.,spam,spam_group_71
Your account is suspended! Please open the secure portal now or your account will be suspended.,spam,spam_group_71
Your account is suspended — open the secure portal now; or your account will be suspended.,spam,spam_group_71
Your card requires verification: pay the small processing fee before access is blocked.,spam,spam_group_72
Your card requires verification! Please pay the small processing fee before access is blocked.,spam,spam_group_72
Your card requires verification — pay the small processing fee; before access is blocked.,spam,spam_group_72
Your bank security check is pending: sign in through the attached link to unlock the bonus.,spam,spam_group_73
Your bank security check is pending! Please sign in through the attached link to unlock the bonus.,spam,spam_group_73
Your bank security check is pending — sign in through the attached link; to unlock the bonus.,spam,spam_group_73
Your delivery is on hold: enter your OTP to continue to collect the voucher.,spam,spam_group_74
Your delivery is on hold! Please enter your OTP to continue to collect the voucher.,spam,spam_group_74
Your delivery is on hold — enter your OTP to continue; to collect the voucher.,spam,spam_group_74
Loan approved: confirm your payment information to complete the security check.,spam,spam_group_75
Loan approved! Please confirm your payment information to complete the security check.,spam,spam_group_75
Loan approved — confirm your payment information; to complete the security check.,spam,spam_group_75
Investment opportunity: verify your account immediately before the deadline.,spam,spam_group_76
Investment opportunity! Please verify your account immediately before the deadline.,spam,spam_group_76
Investment opportunity — verify your account immediately; before the deadline.,spam,spam_group_76
Cash reward available: send the verification code to receive your cash prize.,spam,spam_group_77
Cash reward available! Please send the verification code to receive your cash prize.,spam,spam_group_77
Cash reward available — send the verification code; to receive your cash prize.,spam,spam_group_77
Free voucher available: complete verification before midnight and confirm your credentials.,spam,spam_group_78
Free voucher available! Please complete verification before midnight and confirm your credentials.,spam,spam_group_78
Free voucher available — complete verification before midnight; and confirm your credentials.,spam,spam_group_78
Bonus waiting for you: click the link to continue to avoid a service interruption.,spam,spam_group_79
Bonus waiting for you! Please click the link to continue to avoid a service interruption.,spam,spam_group_79
Bonus waiting for you — click the link to continue; to avoid a service interruption.,spam,spam_group_79
Lottery result available: claim your prize today to release the funds.,spam,spam_group_80
Lottery result available! Please claim your prize today to release the funds.,spam,spam_group_80
Lottery result available — claim your prize today; to release the funds.,spam,spam_group_80
URGENT: share the one-time password before the offer expires.,spam,spam_group_81
URGENT! Please share the one-time password before the offer expires.,spam,spam_group_81
URGENT — share the one-time password; before the offer expires.,spam,spam_group_81
FINAL NOTICE: update your card details to receive the reward.,spam,spam_group_82
FINAL NOTICE! Please update your card details to receive the reward.,spam,spam_group_82
FINAL NOTICE — update your card details; to receive the reward.,spam,spam_group_82
SECURITY ALERT: provide your banking details or your account will be suspended.,spam,spam_group_83
SECURITY ALERT! Please provide your banking details or your account will be suspended.,spam,spam_group_83
SECURITY ALERT — provide your banking details; or your account will be suspended.,spam,spam_group_83
IMPORTANT NOTICE: respond immediately to avoid suspension before access is blocked.,spam,spam_group_84
IMPORTANT NOTICE! Please respond immediately to avoid suspension before access is blocked.,spam,spam_group_84
IMPORTANT NOTICE — respond immediately to avoid suspension; before access is blocked.,spam,spam_group_84
ACTION REQUIRED: reset your password immediately to unlock the bonus.,spam,spam_group_85
ACTION REQUIRED! Please reset your password immediately to unlock the bonus.,spam,spam_group_85
ACTION REQUIRED — reset your password immediately; to unlock the bonus.,spam,spam_group_85
IMMEDIATE ACTION REQUIRED: unlock your account using this link to collect the voucher.,spam,spam_group_86
IMMEDIATE ACTION REQUIRED! Please unlock your account using this link to collect the voucher.,spam,spam_group_86
IMMEDIATE ACTION REQUIRED — unlock your account using this link; to collect the voucher.,spam,spam_group_86
LAST WARNING: confirm your identity now to complete the security check.,spam,spam_group_87
LAST WARNING! Please confirm your identity now to complete the security check.,spam,spam_group_87
LAST WARNING — confirm your identity now; to complete the security check.,spam,spam_group_87
ACCOUNT ALERT: call the number to claim before the deadline.,spam,spam_group_88
ACCOUNT ALERT! Please call the number to claim before the deadline.,spam,spam_group_88
ACCOUNT ALERT — call the number to claim; before the deadline.,spam,spam_group_88
Congratulations: transfer the fee to release the reward to receive your cash prize.,spam,spam_group_89
Congratulations! Please transfer the fee to release the reward to receive your cash prize.,spam,spam_group_89
Congratulations — transfer the fee to release the reward; to receive your cash prize.,spam,spam_group_89
You have won: open the secure portal now and confirm your credentials.,spam,spam_group_90
You have won! Please open the secure portal now and confirm your credentials.,spam,spam_group_90
You have won — open the secure portal now; and confirm your credentials.,spam,spam_group_90
Winner selected: pay the small processing fee to avoid a service interruption.,spam,spam_group_91
Winner selected! Please pay the small processing fee to avoid a service interruption.,spam,spam_group_91
Winner selected — pay the small processing fee; to avoid a service interruption.,spam,spam_group_91
Exclusive reward: sign in through the attached link to release the funds.,spam,spam_group_92
Exclusive reward! Please sign in through the attached link to release the funds.,spam,spam_group_92
Exclusive reward — sign in through the attached link; to release the funds.,spam,spam_group_92
Limited time offer: enter your OTP to continue before the offer expires.,spam,spam_group_93
Limited time offer! Please enter your OTP to continue before the offer expires.,spam,spam_group_93
Limited time offer — enter your OTP to continue; before the offer expires.,spam,spam_group_93
Special promotion: confirm your payment information to receive the reward.,spam,spam_group_94
Special promotion! Please confirm your payment information to receive the reward.,spam,spam_group_94
Special promotion — confirm your payment information; to receive the reward.,spam,spam_group_94
Claim notice: verify your account immediately or your account will be suspended.,spam,spam_group_95
Claim notice! Please verify your account immediately or your account will be suspended.,spam,spam_group_95
Claim notice — verify your account immediately; or your account will be suspended.,spam,spam_group_95
Prize notification: send the verification code before access is blocked.,spam,spam_group_96
Prize notification! Please send the verification code before access is blocked.,spam,spam_group_96
Prize notification — send the verification code; before access is blocked.,spam,spam_group_96
Your payment failed: complete verification before midnight to unlock the bonus.,spam,spam_group_97
Your payment failed! Please complete verification before midnight to unlock the bonus.,spam,spam_group_97
Your payment failed — complete verification before midnight; to unlock the bonus.,spam,spam_group_97
Your account is suspended: click the link to continue to collect the voucher.,spam,spam_group_98
Your account is suspended! Please click the link to continue to collect the voucher.,spam,spam_group_98
Your account is suspended — click the link to continue; to collect the voucher.,spam,spam_group_98
Your card requires verification: claim your prize today to complete the security check.,spam,spam_group_99
Your card requires verification! Please claim your prize today to complete the security check.,spam,spam_group_99
Your card requires verification — claim your prize today; to complete the security check.,spam,spam_group_99
Your bank security check is pending: share the one-time password before the deadline.,spam,spam_group_100
Your bank security check is pending! Please share the one-time password before the deadline.,spam,spam_group_100
Your bank security check is pending — share the one-time password; before the deadline.,spam,spam_group_100
Your delivery is on hold: update your card details to receive your cash prize.,spam,spam_group_101
Your delivery is on hold! Please update your card details to receive your cash prize.,spam,spam_group_101
Your delivery is on hold — update your card details; to receive your cash prize.,spam,spam_group_101
Loan approved: provide your banking details and confirm your credentials.,spam,spam_group_102
Loan approved! Please provide your banking details and confirm your credentials.,spam,spam_group_102
Loan approved — provide your banking details; and confirm your credentials.,spam,spam_group_102
Investment opportunity: respond immediately to avoid suspension to avoid a service interruption.,spam,spam_group_103
Investment opportunity! Please respond immediately to avoid suspension to avoid a service interruption.,spam,spam_group_103
Investment opportunity — respond immediately to avoid suspension; to avoid a service interruption.,spam,spam_group_103
Cash reward available: reset your password immediately to release the funds.,spam,spam_group_104
Cash reward available! Please reset your password immediately to release the funds.,spam,spam_group_104
Cash reward available — reset your password immediately; to release the funds.,spam,spam_group_104
Free voucher available: unlock your account using this link before the offer expires.,spam,spam_group_105
Free voucher available! Please unlock your account using this link before the offer expires.,spam,spam_group_105
Free voucher available — unlock your account using this link; before the offer expires.,spam,spam_group_105
Bonus waiting for you: confirm your identity now to receive the reward.,spam,spam_group_106
Bonus waiting for you! Please confirm your identity now to receive the reward.,spam,spam_group_106
Bonus waiting for you — confirm your identity now; to receive the reward.,spam,spam_group_106
Lottery result available: call the number to claim or your account will be suspended.,spam,spam_group_107
Lottery result available! Please call the number to claim or your account will be suspended.,spam,spam_group_107
Lottery result available — call the number to claim; or your account will be suspended.,spam,spam_group_107
URGENT: transfer the fee to release the reward before access is blocked.,spam,spam_group_108
URGENT! Please transfer the fee to release the reward before access is blocked.,spam,spam_group_108
URGENT — transfer the fee to release the reward; before access is blocked.,spam,spam_group_108
FINAL NOTICE: open the secure portal now to unlock the bonus.,spam,spam_group_109
FINAL NOTICE! Please open the secure portal now to unlock the bonus.,spam,spam_group_109
FINAL NOTICE — open the secure portal now; to unlock the bonus.,spam,spam_group_109
SECURITY ALERT: pay the small processing fee to collect the voucher.,spam,spam_group_110
SECURITY ALERT! Please pay the small processing fee to collect the voucher.,spam,spam_group_110
SECURITY ALERT — pay the small processing fee; to collect the voucher.,spam,spam_group_110
IMPORTANT NOTICE: sign in through the attached link to complete the security check.,spam,spam_group_111
IMPORTANT NOTICE! Please sign in through the attached link to complete the security check.,spam,spam_group_111
IMPORTANT NOTICE — sign in through the attached link; to complete the security check.,spam,spam_group_111
ACTION REQUIRED: enter your OTP to continue before the deadline.,spam,spam_group_112
ACTION REQUIRED! Please enter your OTP to continue before the deadline.,spam,spam_group_112
ACTION REQUIRED — enter your OTP to continue; before the deadline.,spam,spam_group_112
IMMEDIATE ACTION REQUIRED: confirm your payment information to receive your cash prize.,spam,spam_group_113
IMMEDIATE ACTION REQUIRED! Please confirm your payment information to receive your cash prize.,spam,spam_group_113
IMMEDIATE ACTION REQUIRED — confirm your payment information; to receive your cash prize.,spam,spam_group_113
LAST WARNING: verify your account immediately and confirm your credentials.,spam,spam_group_114
LAST WARNING! Please verify your account immediately and confirm your credentials.,spam,spam_group_114
LAST WARNING — verify your account immediately; and confirm your credentials.,spam,spam_group_114
ACCOUNT ALERT: send the verification code to avoid a service interruption.,spam,spam_group_115
ACCOUNT ALERT! Please send the verification code to avoid a service interruption.,spam,spam_group_115
ACCOUNT ALERT — send the verification code; to avoid a service interruption.,spam,spam_group_115
Congratulations: complete verification before midnight to release the funds.,spam,spam_group_116
Congratulations! Please complete verification before midnight to release the funds.,spam,spam_group_116
Congratulations — complete verification before midnight; to release the funds.,spam,spam_group_116
You have won: click the link to continue before the offer expires.,spam,spam_group_117
You have won! Please click the link to continue before the offer expires.,spam,spam_group_117
You have won — click the link to continue; before the offer expires.,spam,spam_group_117
Winner selected: claim your prize today to receive the reward.,spam,spam_group_118
Winner selected! Please claim your prize today to receive the reward.,spam,spam_group_118
Winner selected — claim your prize today; to receive the reward.,spam,spam_group_118
Exclusive reward: share the one-time password or your account will be suspended.,spam,spam_group_119
Exclusive reward! Please share the one-time password or your account will be suspended.,spam,spam_group_119
Exclusive reward — share the one-time password; or your account will be suspended.,spam,spam_group_119
Limited time offer: update your card details before access is blocked.,spam,spam_group_120
Limited time offer! Please update your card details before access is blocked.,spam,spam_group_120
Limited time offer — update your card details; before access is blocked.,spam,spam_group_120
Special promotion: provide your banking details to unlock the bonus.,spam,spam_group_121
Special promotion! Please provide your banking details to unlock the bonus.,spam,spam_group_121
Special promotion — provide your banking details; to unlock the bonus.,spam,spam_group_121
Claim notice: respond immediately to avoid suspension to collect the voucher.,spam,spam_group_122
Claim notice! Please respond immediately to avoid suspension to collect the voucher.,spam,spam_group_122
Claim notice — respond immediately to avoid suspension; to collect the voucher.,spam,spam_group_122
